STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     Leipzig;19340101;   1;    0.2;   6.0;   8.0; 1010.90;   97.00;-999;    0.4;    0.0;   -0.6;-999;   0.3;   8;    0.000;   0;eor
     Leipzig;19340102;   1;   -0.4;   5.7;   8.0; 1007.70;   96.00;-999;    0.4;   -1.0;   -1.0;-999;   0.0;   8;    0.000;   0;eor
     Leipzig;19340103;   1;   -0.9;   5.2;   8.0; 1003.80;   89.00;-999;   -0.3;   -1.1;   -2.4;-999;   0.0;   8;    0.000;   0;eor
     Leipzig;19340104;   1;   -0.8;   4.8;   6.7; 1002.40;   82.00;-999;    0.7;   -1.4;   -3.4;-999;   0.0;   0;    1.400;   0;eor
     Leipzig;19340105;   1;    1.2;   6.1;   7.0;  998.10;   92.00;-999;    1.9;   -1.4;   -3.5;-999;   7.9;   8;    0.000;   0;eor
     Leipzig;19340106;   1;    2.1;   6.1;   6.3; 1012.90;   86.00;-999;    3.2;    1.1;   -3.3;-999;   0.0;   0;    4.200;   0;eor
     Leipzig;19340107;   1;    1.8;   5.9;   5.3; 1010.80;   83.00;-999;    3.5;    0.8;   -1.4;-999;   0.2;   1;    0.500;   0;eor
     Leipzig;19340108;   1;    1.9;   4.5;   4.3; 1004.60;   65.00;-999;    4.9;   -0.8;   -3.9;-999;   0.0;   7;    5.200;   0;eor
     Leipzig;19340109;   1;   -0.2;   5.3;   4.0; 1011.70;   88.00;-999;    1.8;   -1.4;   -4.5;-999;   0.0;   0;    6.500;   0;eor
     Leipzig;19340110;   1;   -2.7;   4.8;   6.0; 1014.30;   92.00;-999;    0.3;   -4.6;   -7.4;-999;   0.0;   0;    1.900;   0;eor
     Leipzig;19340111;   1;   -2.9;   3.7;   1.7; 1004.90;   74.00;-999;    0.6;   -5.5;   -8.0;-999;   0.0;   0;    6.400;   0;eor
     Leipzig;19340112;   1;    0.2;   4.4;   5.3;  992.60;   73.00;-999;    2.5;   -5.1;   -7.4;-999;   6.2;   1;    1.600;   0;eor
     Leipzig;19340113;   1;    3.8;   6.8;   7.0;  991.90;   85.00;-999;    5.5;    0.8;    0.0;-999;   0.0;   1;    2.100;   0;eor
     Leipzig;19340114;   1;    3.7;   6.1;   4.3;  987.40;   78.00;-999;    4.5;    1.8;   -0.8;-999;   0.4;   1;    0.000;   0;eor
     Leipzig;19340115;   1;    5.5;   6.7;   7.7;  981.50;   74.00;-999;    6.8;    3.3;    1.2;-999;   0.3;   1;    0.400;   0;eor
     Leipzig;19340116;   1;    3.2;   6.0;   4.7;  992.00;   78.00;-999;    5.4;    1.6;   -1.0;-999;   0.0;   0;    3.000;   0;eor
     Leipzig;19340117;   1;    3.5;   6.1;   5.7;  998.10;   80.00;-999;    4.5;    1.5;   -0.5;-999;   1.9;   8;    1.000;   0;eor
     Leipzig;19340118;   1;   10.3;   9.5;   7.7;  990.30;   77.00;-999;   12.3;    3.4;    1.9;-999;   0.3;   1;    0.000;   0;eor
     Leipzig;19340119;   1;    6.8;   7.9;   5.3;  991.10;   73.00;-999;   11.8;    3.6;    2.7;-999;   1.6;   1;    2.500;   0;eor
     Leipzig;19340120;   1;    1.4;   5.9;   5.0; 1009.40;   84.00;-999;    4.9;   -0.5;   -2.5;-999;   0.0;   1;    3.700;   0;eor
     Leipzig;19340121;   1;   -1.5;   4.9;   0.3; 1023.50;   90.00;-999;    0.7;   -4.7;   -9.9;-999;   0.0;   0;    6.000;   0;eor
     Leipzig;19340122;   1;   -2.2;   4.7;   0.0; 1022.40;   88.00;-999;    1.2;   -4.7;   -6.6;-999;   0.0;   0;    7.200;   0;eor
     Leipzig;19340123;   1;   -2.8;   4.4;   2.7; 1021.60;   88.00;-999;    0.8;   -6.0;   -9.2;-999;   0.0;   0;    6.300;   0;eor
     Leipzig;19340124;   1;   -2.1;   4.7;   2.7; 1019.50;   90.00;-999;    1.4;   -6.4;  -10.3;-999;   0.0;   0;    3.400;   0;eor
     Leipzig;19340125;   1;   -3.1;   4.4;   2.7; 1014.80;   89.00;-999;    0.0;   -7.0;   -8.3;-999;   0.0;   0;    2.500;   0;eor
     Leipzig;19340126;   1;    1.8;   4.3;   4.7; 1012.40;   66.00;-999;    4.6;   -5.4;   -8.4;-999;   0.0;   1;    5.600;   0;eor
     Leipzig;19340127;   1;    3.2;   6.4;   6.7; 1002.70;   81.00;-999;    6.5;    1.7;    0.8;-999;   1.1;   1;    2.400;   0;eor
     Leipzig;19340128;   1;    0.5;   6.1;   8.0; 1004.50;   97.00;-999;    2.0;   -0.2;   -1.6;-999;   1.4;   8;    0.000;   0;eor
     Leipzig;19340129;   1;    0.7;   6.3;   8.0; 1012.50;   98.00;-999;    1.5;    0.3;   -0.6;-999;   0.0;   8;    0.000;   0;eor
     Leipzig;19340130;   1;   -0.3;   5.3;   7.0; 1012.50;   89.00;-999;    1.1;   -1.3;   -3.2;-999;   0.6;   7;    0.500;   0;eor
     Leipzig;19340131;   1;   -0.8;   4.9;   7.3; 1004.30;   85.00;-999;    0.6;   -1.8;   -3.0;-999;   0.3;   7;    0.000;   3;eor
     Leipzig;19340201;   1;   -4.2;   4.4;   7.7; 1004.90;   91.00;-999;   -1.5;   -8.3;  -10.0;-999;   0.7;   7;    0.000;   5;eor
     Leipzig;19340202;   1;   -8.8;   2.9;   2.7; 1017.60;   84.00;-999;   -4.7;  -12.3;  -17.0;-999;   0.3;   1;    6.100;   7;eor
